env,run_dir_abs,run_group,project,run_dir,seed,subgoal,critic_type,gap,wmax,horizon_K,h_a,train_N,train_eval_N,lambda,kappa_b,kappa_d,gamma,batch_size,train_epochs,final_eval_episodes,subgoal_flow_steps,subgoal_temperature,subgoal_goal_representation,subgoal_target_mode,planner_type,value_hidden_dims,actor_hidden_dims,eval_epoch,eval_n,eval_episodes,eval_temperature,eval_suffix,eval_score_type,eval_max_chunks,eval_flow_steps,IDM,ACTOR,idm_tasks,actor_tasks,eval_timestamp
antmaze-giant-navigate-v0,/home/choi/Pathbridger_flow/checkpoints/flow_trl_best_epoch600/antmaze_giant_amg_g3_w5_n1_evalN8,flow_trl_feval_amg_g3_w5_n1,Pathbridger_flow,antmaze_giant_amg_g3_w5_n1_evalN8,0,flow,trl,3.0,5.0,25,5,1,1,0.0,0.9,0.9,0.999,1024,600,25,8,1.0,phi,displacement,forward_bridge_residual,"[512, 512, 512]",,600,8,25,0.5,cap4000_t0p5,transitive_ratio,200,8,0.32,0.376,"1:0.0000,2:0.3600,3:0.2400,4:0.2000,5:0.8000","1:0.0800,2:0.2400,3:0.2800,4:0.3600,5:0.9200",2026-06-24T16:15:46Z
antmaze-large-navigate-v0,/home/choi/Pathbridger_flow/checkpoints/flow_trl_best_epoch600/antmaze_large_aml_g10_w5_n1_evalN16,flow_trl_feval_aml_g10_w5_n1,Pathbridger_flow,20260621_183619_seed0_antmaze-large-navigate-v0,0,flow,trl,10.0,5.0,25,5,1,1,0.0,0.9,0.9,0.995,1024,600,25,8,1.0,phi,displacement,forward_bridge_residual,"[512, 512, 512]",,600,16,25,1.0,,,200,,0.768,0.728,"1:0.6800,2:0.7200,3:0.9600,4:0.7600,5:0.7200","1:0.4800,2:0.4800,3:0.9200,4:0.9200,5:0.8400",2026-06-21T12:07:50Z
antmaze-medium-navigate-v0,/home/choi/Pathbridger_flow/checkpoints/flow_trl_best_epoch600/antmaze_medium_amm_g3_w5_n1_evalN8,flow_trl_feval_amm_g3_w5_n1,Pathbridger_flow,antmaze_medium_amm_g3_w5_n1_evalN8,0,flow,trl,3.0,5.0,25,5,1,1,0.0,0.9,0.9,0.99,1024,600,25,8,1.0,phi,displacement,forward_bridge_residual,"[512, 512, 512]",,600,8,25,0.5,t0p5,transitive_ratio,200,8,0.96,0.968,"1:0.9600,2:1.0000,3:0.9600,4:0.9600,5:0.9200","1:0.9600,2:1.0000,3:1.0000,4:0.8800,5:1.0000",2026-06-22T03:28:40Z
cube-double-play-v0,/home/choi/Pathbridger_flow/checkpoints/flow_trl_best_epoch600/cube_double_cd_g10_w5_n1_evalN8,flow_trl_feval_cd_g10_w5_n1,Pathbridger_flow,cube_double_cd_g10_w5_n1_evalN8,0,flow,trl,10.0,5.0,25,5,1,1,1.0,0.9,0.9,0.99,1024,600,25,8,1.0,phi,displacement,forward_bridge_residual,"[512, 512, 512]",,600,8,25,0.25,t0p25,transitive_ratio,200,8,0.784,0.8,"1:1.0000,2:1.0000,3:0.9600,4:0.0800,5:0.8800","1:1.0000,2:1.0000,3:1.0000,4:0.1600,5:0.8400",2026-06-24T13:54:59Z
cube-single-play-v0,/home/choi/Pathbridger_flow/checkpoints/flow_trl_best_epoch600/cube_single_cs_g10_w5_n1_evalN2,flow_trl_feval_cs_g10_w5_n1,Pathbridger_flow,cube_single_cs_g10_w5_n1_evalN2,0,flow,trl,10.0,5.0,25,5,1,1,0.7,0.9,0.9,0.99,1024,600,25,8,1.0,phi,displacement,forward_bridge_residual,"[512, 512, 512]",,600,2,25,0.5,t0p5,transitive_ratio,200,8,0.9039999999999999,0.8160000000000001,"1:0.9200,2:0.9200,3:0.9600,4:0.9200,5:0.8000","1:0.8400,2:0.6800,3:1.0000,4:0.7600,5:0.8000",2026-06-22T03:12:19Z
cube-triple-play-v0,/home/choi/Pathbridger_flow/runs/20260624_082614_seed0_cube-triple-play-v0,flow_trl_gap_tune_ct_g20_w5_n1,Pathbridger_flow,20260624_082614_seed0_cube-triple-play-v0,0,flow,trl,20.0,5.0,25,5,1,1,1.0,0.9,0.9,0.995,4096,600,25,8,1.0,phi,displacement,forward_bridge_residual,"[512, 512, 512]",,600,16,25,0.25,t0p25,transitive_ratio,200,8,0.664,0.56,"1:0.9600,2:1.0000,3:0.9600,4:0.2400,5:0.1600","1:1.0000,2:0.7600,3:0.8800,4:0.1200,5:0.0400",2026-06-24T14:39:56Z
humanoidmaze-large-navigate-v0,/home/choi/Pathbridger_flow/runs/20260625_192606_seed0_humanoidmaze-large-navigate-v0,flow_trl_humanoidmaze_dw_hml_g10_w5_n1_dwp0p1,Pathbridger_flow,20260625_192606_seed0_humanoidmaze-large-navigate-v0,0,flow,trl,10.0,5.0,25,5,1,1,0.1,0.9,0.9,0.999,1024,600,25,8,1.0,phi,displacement,forward_bridge_residual,"[512, 512, 512]",,600,32,25,1.0,cap2000,transitive_ratio,200,8,0.024,0.016,"1:0.0000,2:0.0000,3:0.0800,4:0.0000,5:0.0400","1:0.0000,2:0.0000,3:0.0400,4:0.0400,5:0.0000",2026-06-26T16:22:48Z
humanoidmaze-medium-navigate-v0,/home/choi/Pathbridger_flow/runs/20260627_065306_seed0_humanoidmaze-medium-navigate-v0,flow_trl_humanoidmaze_dw_hmm_g10_w5_n1_dwp0p1,Pathbridger_flow,20260627_065306_seed0_humanoidmaze-medium-navigate-v0,0,flow,trl,10.0,5.0,25,5,1,1,0.1,0.9,0.9,0.999,1024,600,25,8,1.0,phi,displacement,forward_bridge_residual,"[512, 512, 512]",,600,32,25,1.0,cap2000,transitive_ratio,400,8,0.128,0.096,"1:0.0400,2:0.2000,3:0.2400,4:0.0000,5:0.1600","1:0.0000,2:0.1200,3:0.2000,4:0.0000,5:0.1600",2026-06-27T06:58:19Z
puzzle-3x3-play-v0,/home/choi/Pathbridger_flow/runs/20260623_225006_seed0_puzzle-3x3-play-v0,flow_trl_gap_tune_p3_g0p5_w5_n1,Pathbridger_flow,20260623_225006_seed0_puzzle-3x3-play-v0,0,flow,trl,0.5,5.0,25,5,1,1,0.5,0.9,0.9,0.99,1024,600,25,8,1.0,phi,displacement,forward_bridge_residual,"[512, 512, 512]",,600,32,25,0.5,t0p5,transitive_ratio,200,8,0.656,0.656,"1:1.0000,2:0.5200,3:0.6400,4:0.5200,5:0.6000","1:0.8400,2:0.6800,3:0.6800,4:0.5200,5:0.5600",2026-06-24T14:09:18Z
puzzle-4x4-play-v0,/home/choi/Pathbridger_flow/checkpoints/flow_trl_best_epoch600/puzzle_4x4_p4_g5_w5_n1_evalN16,flow_trl_feval_p4_g5_w5_n1,Pathbridger_flow,puzzle_4x4_p4_g5_w5_n1_evalN16,0,flow,trl,5.0,5.0,25,5,1,1,2.0,0.9,0.9,0.99,1024,600,25,8,1.0,phi,displacement,forward_bridge_residual,"[512, 512, 512]",,600,16,25,0.5,t0p5,transitive_ratio,200,8,0.784,0.7040000000000001,"1:0.9200,2:0.6800,3:0.8400,4:0.8000,5:0.6800","1:0.8800,2:0.2800,3:0.8000,4:0.8000,5:0.7600",2026-06-22T03:10:50Z
